conv_model,video_name,epsilon,frame_num,target,success,average_count,success_rate,time
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,0,217,True,169.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,1,217,True,169.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,2,217,True,211.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,3,217,True,163.75,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,4,217,True,152.2,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,5,217,True,169.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,6,217,True,187.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,7,217,True,195.25,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,8,217,True,185.33333333333334,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,9,217,True,171.1,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,10,217,True,159.45454545454547,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,11,217,True,153.25,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,12,217,True,148.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,13,217,True,157.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,14,217,True,159.2,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,15,217,True,165.0625,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,16,217,True,165.2941176470588,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,17,217,True,160.83333333333334,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,18,217,True,156.8421052631579,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,19,217,True,150.1,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,20,217,True,148.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,21,217,True,154.6818181818182,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,22,217,True,153.47826086956522,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,23,217,True,166.375,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,24,217,True,163.12,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,25,217,True,164.96153846153845,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,26,217,True,168.22222222222223,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,27,217,True,171.25,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,28,217,True,167.55172413793105,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,29,217,True,172.5,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,30,217,True,175.7741935483871,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,31,217,True,180.8125,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,32,217,True,181.0909090909091,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,33,217,True,179.5,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,34,217,True,175.6,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,35,217,True,173.66666666666666,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,36,217,True,175.24324324324326,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,37,217,True,172.8684210526316,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,38,217,True,170.07692307692307,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,39,217,True,167.95,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,40,217,True,165.41463414634146,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,41,217,True,164.5,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,42,217,True,165.58139534883722,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,43,217,True,164.70454545454547,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,44,217,True,161.06666666666666,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,45,217,True,160.7826086956522,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,46,217,True,158.72340425531914,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,47,217,True,157.1875,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,48,217,True,156.57142857142858,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,49,217,True,159.34,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,50,217,True,161.1764705882353,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,51,217,True,162.94230769230768,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,52,217,True,167.41509433962264,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,53,217,True,167.83333333333334,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,54,217,True,169.38181818181818,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,55,217,True,173.125,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,56,217,True,173.78947368421052,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,57,217,True,175.51724137931035,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,58,217,True,177.54237288135593,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,59,217,True,181.25,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,60,217,True,181.04918032786884,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,61,217,True,180.8548387096774,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,62,217,True,179.33333333333334,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,63,217,True,178.515625,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,64,217,True,178.36923076923077,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,65,217,True,175.6818181818182,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,66,217,True,175.5820895522388,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,67,217,True,173.01470588235293,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,68,217,True,172.65217391304347,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,69,217,True,170.2,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,70,217,True,173.73239436619718,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,71,217,True,173.66666666666666,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,72,217,True,175.6164383561644,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,73,217,True,173.25675675675674,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,74,217,True,173.48,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,75,217,True,172.8684210526316,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,76,217,True,171.1818181818182,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,77,217,True,170.6153846153846,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,78,217,True,173.51898734177215,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,79,217,True,174.775,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,80,217,True,174.44444444444446,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,81,217,True,175.14634146341464,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,82,217,True,173.80722891566265,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,83,217,True,174.0,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,84,217,True,173.94117647058823,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,85,217,True,175.1046511627907,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,86,217,True,175.75862068965517,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,87,217,True,176.63636363636363,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,88,217,True,175.8426966292135,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,89,217,True,177.4,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,90,217,True,178.23076923076923,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,91,217,True,181.55434782608697,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,92,217,True,182.32258064516128,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,93,217,True,183.74468085106383,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,94,217,True,184.25263157894736,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,95,217,True,185.40625,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,96,217,True,185.6701030927835,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,97,217,True,186.14285714285714,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,98,217,True,187.66666666666666,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,99,217,True,188.11,1.0,
vgg16,7HcYJKMxpcg_20_28.avi,0.0625,99,217,True,188.11,1.0,97.64426469802856
