source_model,eval_model,epsilon,k,target,success_rate,method
vgg16 densenet121 mobilenet_v2 resnet18,resnet152,None,10,dog,0.0,2
vgg16 densenet121 mobilenet_v2 resnet18,resnet152,None,30,dog,0.0,2
vgg16 densenet121 mobilenet_v2 resnet18,resnet152,None,40,dog,0.0,2
vgg16 densenet121 mobilenet_v2 resnet18,vgg16,None,10,dog,0.0,2
vgg16 densenet121 mobilenet_v2 resnet18,vgg16,None,30,dog,0.09090909090909091,2
vgg16 densenet121 mobilenet_v2 resnet18,vgg16,None,40,dog,0.0,2
vgg16,resnet152,0.03125,None,dog,0.18181818181818182,1
vgg16,resnet152,0.0625,None,dog,0.09090909090909091,1
vgg16,resnet152,0.09375,None,dog,0.09090909090909091,1
vgg16,vgg16,0.03125,None,dog,0.7272727272727273,1
vgg16,vgg16,0.0625,None,dog,0.7272727272727273,1
vgg16,vgg16,0.09375,None,dog,0.6363636363636364,1
vgg16,resnet152,0.03125,None,dog,0.18181818181818182,0
vgg16,resnet152,0.0625,None,dog,0.09090909090909091,0
vgg16,resnet152,0.09375,None,dog,0.09090909090909091,0
vgg16,vgg16,0.03125,None,dog,1.0,0
vgg16,vgg16,0.0625,None,dog,0.8181818181818182,0
vgg16,vgg16,0.09375,None,dog,0.7272727272727273,0
